language,problem_number,suggestion,test_case,output,message
en,11,solution.py,01,5,
en,11,solution.py,02,4,
en,11,solution.py,03,1,
en,11,solution.py,04,6,
en,11,solution.py,05,6,
en,11,solution.py,06,7,
en,11,solution.py,07,6,
en,11,solution.py,08,7,
en,11,solution.py,09,6,
en,11,solution.py,10,7,
en,11,solution.py,11,6,
en,11,solution.py,12,6,
en,11,solution.py,13,6,
en,11,solution.py,14,10,
en,11,solution.py,15,6,
en,11,solution.py,sample_01,4,
en,11,solution.py,sample_02,4,
en,11,solution.py,sample_03,1,
