language,problem_number,suggestion,test_case,output,message
en,05,8.py,01,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,02,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,03,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,04,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,05,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,06,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,07,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,08,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,09,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,10,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,11,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,12,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,13,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,14,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,15,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,sample_01,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,sample_02,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
en,05,8.py,sample_03,,"  File ""/Users/keikoyanagi/Desktop/comment_recommendation_v2/script/mod_gen/1_time/en//05/8.py"", line 48
    print(findSubstringInWraproundString(""zabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
                                                                                                                         ^
SyntaxError: EOL while scanning string literal
"
